original_name,source,suggested_cas,suggested_name,pubchem_cid,confidence,notes
Sulfachloropyridazine,PubChem_API,80-32-0,4-amino-N-(6-chloropyridazin-3-yl)benzenesulfonamide,6634.0,High,Direct match from PubChem API.
dimefox,PubChem_API,115-26-4,N-[dimethylamino(fluoro)phosphoryl]-N-methylmethanamine,8264.0,High,Direct match from PubChem API.
Clethodim-imin-sulfoxid,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Clethodim-imin-sulfoxid/property/IUPACName/JSON
Cimaterol,PubChem_API,54239-37-1,2-amino-5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzonitrile,2755.0,High,Direct match from PubChem API.
Florfenicol amine,PubChem_API,76639-93-5,"(1R,2S)-2-amino-3-fluoro-1-(4-methylsulfonylphenyl)propan-1-ol",156406.0,High,Direct match from PubChem API.
Ochratoxin A,PubChem_API,303-47-9,"(2S)-2-[[(3R)-5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydroisochromene-7-carbonyl]amino]-3-phenylpropanoic acid",442530.0,High,Direct match from PubChem API.
(13C17)-AFB2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/(13C17)-AFB2/property/IUPACName/JSON
Doxycycline,PubChem_API,7164-70-7,"(4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide",54671203.0,High,Direct match from PubChem API.
etobenzanid,PubChem_API,79540-50-4,"N-(2,3-dichlorophenyl)-4-(ethoxymethoxy)benzamide",12771065.0,High,Direct match from PubChem API.
sebutylazine,PubChem_API,7286-69-3,"2-N-butan-2-yl-6-chloro-4-N-ethyl-1,3,5-triazine-2,4-diamine",23712.0,High,Direct match from PubChem API.
Oxamyl-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Oxamyl-2/property/IUPACName/JSON
"4,4'-dichlorobenzophenone",PubChem_API,90-98-2,bis(4-chlorophenyl)methanone,7034.0,High,Direct match from PubChem API.
Apomorphine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Apomorphine-1/property/IUPACName/JSON
Picrotin,PubChem_API,21416-53-5,"(1R,3R,5S,8S,9R,12S,13R,14S)-1-hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-4,7,10-trioxapentacyclo[6.4.1.19,12.03,5.05,13]tetradecane-6,11-dione",442291.0,High,Direct match from PubChem API.
dioxacarb,PubChem_API,6988-21-2,"[2-(1,3-dioxolan-2-yl)phenyl] N-methylcarbamate",23421.0,High,Direct match from PubChem API.
Desacetyl Cephapirin,PubChem_API,38115-21-8,"(6R,7R)-3-(hydroxymethyl)-8-oxo-7-[(2-pyridin-4-ylsulfanylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",162287.0,High,Direct match from PubChem API.
"silafluofen,",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/silafluofen,/property/IUPACName/JSON"
zeta cypermethrin,PubChem_API,1315501-18-8,"[(S)-cyano-(3-phenoxyphenyl)methyl] 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",12617362.0,High,Direct match from PubChem API.
Eserine,PubChem_API,57-47-6,"[(3aR,8bS)-3,4,8b-trimethyl-2,3a-dihydro-1H-pyrrolo[2,3-b]indol-7-yl] N-methylcarbamate",5983.0,High,Direct match from PubChem API.
Coumaphos-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Coumaphos-1/property/IUPACName/JSON
Ricinine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Ricinine-1/property/IUPACName/JSON
trichloronat,PubChem_API,327-98-0,"ethoxy-ethyl-sulfanylidene-(2,4,5-trichlorophenoxy)-lambda5-phosphane",9477.0,High,Direct match from PubChem API.
mexacarbate,PubChem_API,315-18-4,"[4-(dimethylamino)-3,5-dimethylphenyl] N-methylcarbamate",9414.0,High,Direct match from PubChem API.
Chlorpromazine,PubChem_API,50-53-3,"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine",2726.0,High,Direct match from PubChem API.
Pentazocine-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Pentazocine-2/property/IUPACName/JSON
PFHpA,PubChem_API,375-85-9,"2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanoic acid",67818.0,High,Direct match from PubChem API.
butachlor,PubChem_API,23184-66-9,"N-(butoxymethyl)-2-chloro-N-(2,6-diethylphenyl)acetamide",31677.0,High,Direct match from PubChem API.
fenaminosulf,PubChem_API,140-56-7,sodium N-[4-(dimethylamino)phenyl]iminosulfamate,23668198.0,High,Direct match from PubChem API.
bifenazate,PubChem_API,149877-41-8,propan-2-yl N-(2-methoxy-5-phenylanilino)carbamate,176879.0,High,Direct match from PubChem API.
tralkoxydim,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/tralkoxydim/property/IUPACName/JSON
