original_name,suggested_cas,suggested_name,confidence,notes,molecular_formula,molecular_weight,smiles,pubchem_cid,source
Sulfachloropyridazine,80-32-0,4-amino-N-(6-chloropyridazin-3-yl)benzenesulfonamide,High,The input name 'Sulfachloropyridazine' is a well-established common and INN (International Nonproprietary Name) for the compound. The search resulted in a direct and unambiguous match in major chemical databases like PubChem.,C10H9ClN4O2S,284.018921,C1=CC(=C(C=C1)N)S(=O)(=O)NC2=NN=C(C=C2)Cl,5310.0,LLM_VertexAI
dimefox,115-26-4,"N,N,N',N'-tetramethylphosphorodiamidic fluoride",High,The input name 'dimefox' is the established common name for the organophosphate insecticide and acaricide. It resolved unambiguously in major chemical databases like PubChem and ChemSpider to a single chemical entity.,C4H12FN2OP,154.066763,CN(C)P(=O)(F)N(C)C,8243.0,LLM_VertexAI
Clethodim-imin-sulfoxid,138981-54-3,2-(1-Iminopropyl)-5-[2-(ethylsulfinyl)propyl]-3-hydroxycyclohex-2-en-1-one,High,"The input name appears to be a common name for a known metabolite of the herbicide Clethodim, using the German spelling 'sulfoxid' for 'sulfoxide'. Searching for 'Clethodim imine sulfoxide' on PubChem yields a unique and well-defined chemical entity. The structure corresponds to the parent Clethodim where the oxime ether has been converted to an imine and the thioether has been oxidized to a sulfoxide. The CAS number is confirmed across multiple databases.",C14H23NO3S,285.14021,CCC(=N)C1=C(C(=O)CC(C1=O)C(C)S(=O)CC)O,11652750.0,LLM_VertexAI
Cimaterol,54239-37-1,Cimaterol,High,"Cimaterol is a well-established common name for a specific beta-adrenergic agonist. The search in public databases like PubChem yields a single, unambiguous chemical entity.",C13H18N2O,218.141914,CC(C)NCC(C1=CC(=CC=C1)C#N)O,5282361.0,LLM_VertexAI
Florfenicol amine,138870-98-3,1-[4-(Methylsulfonyl)phenyl]-2-amino-3-fluoropropan-1-ol,High,"The compound 'Florfenicol amine' is a well-defined chemical entity, specifically the primary amine resulting from the hydrolysis of the amide bond in the antibiotic Florfenicol. It is a known metabolite and is clearly identified in major chemical databases like PubChem.",C10H14FNO3S,247.067838,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)N)O,123891.0,LLM_VertexAI
Ochratoxin A,303-47-9,"(2S)-2-[[[(3R)-5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydro-1H-isochromen-7-yl]carbonyl]amino]-3-phenylpropanoic acid",High,The input name is a standard and unambiguous common name for a well-known mycotoxin. A direct and definitive match was found in major chemical databases like PubChem.,C20H18ClNO6,403.08226,CC1C(C(=O)OC2=C1C=C(C(=C2O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl)C,442530.0,LLM_VertexAI
(13C17)-AFB2,,Aflatoxin B2-13C17,High,"The input name corresponds to Aflatoxin B2 (AFB2) uniformly labeled with 17 Carbon-13 isotopes. The molecular formula for unlabeled Aflatoxin B2 is C17H14O6, which contains exactly 17 carbon atoms, matching the '(13C17)' label. The specific isotopologue was found in PubChem under the name 'Aflatoxin B2-13C17'. A CAS number for this specific labeled compound is not readily available in public databases.",[13C]17H14O6,331.136079,[13C]OC1=[13C]2[13C]=[13C]([13C]3=[13C](O1)[13C]4[13C]5[13C]([13C][13C]4[13C]3=O)O[13C]5)[13C](=O)[13C]2,135566318.0,LLM_VertexAI
Doxycycline,564-25-0,Doxycycline,High,Doxycycline is a well-known and widely used tetracycline antibiotic. The search in public databases like PubChem yields an unambiguous and well-characterized primary match for the parent compound.,C22H24N2O8,444.153266,CN(C)[C@H]1C(=O)C(C(=O)N)=C(O)[C@]2(O)C1=C(O)C1=C(C=CC=C1O)C(=O)[C@H]2[C@@H](C)O,54671203.0,LLM_VertexAI
etobenzanid,74070-46-5,"N-(2,3-dichlorophenyl)-2-ethoxybenzamide",High,"The input 'etobenzanid' is a recognized common name for the herbicide N-(2,3-dichlorophenyl)-2-ethoxybenzamide. Searches in PubChem and ChemSpider yield a single, unambiguous result.",C15H13Cl2NO2,310.0296068,CCOC1=CC=CC=C1C(=O)NC2=C(C=CC=C2Cl)Cl,123849.0,LLM_VertexAI
sebutylazine,7286-69-3,Sebuthylazine,High,The input name 'sebutylazine' is a direct and unambiguous match for the herbicide Sebuthylazine. All properties were retrieved from its corresponding PubChem entry.,C9H16ClN5,229.109423,CCNC1=NC(=NC(=N1)Cl)NC(C)CC,20623.0,LLM_VertexAI
